कल kal
telecom टेलिकम
plan प्लान
sms एसएमएस
SMS एसएमएस
aum ॐ
hudai हुँदै
kathmandu काठमाडौं
Kathmandu काठमाडौं
bibek विवेक
vivek विवेक
pandey पाण्डे
facebook फेसबुक
twitter ट्विटर
instagram इन्स्टाग्राम
messenger मेसेन्जर
laptop ल्याप्टप
phone फोन
code कोड
google गूगल
message मेसेज
hola होला
gas ग्यास
garage ग्यारेज
radio रेडियो
cool कूल
fun फन
number नम्बर
one एक
two दुई
three तीन
four चार
five पाँच
six छ
seven सात
eight आठ
nine नौ
ten दश
eleven एघार
twelve बाह्र
thirteen तेह्र
fourteen चौध
fifteen पन्ध्र
sixteen सोह्र
seventeen सत्र
eighteen अठार
nineteen उन्नाइस
twenty बिस
thirty तीस
forty चालीस
fifty पचास
sixty साठी
seventy सत्तरी
eighty असी
ninety नब्बे
hundred सय
thousand हजार
million दशलाख
billion दशकरोड
trillion दशअर्ब
zillion दशखर्ब
zero शून्य
business बिजनेस
bazaar बजार
market मार्केट
shop स्टोर
store स्टोर
mall मल
supermarket सुपरमार्केट
grocery ग्रोसरी
grocerystore ग्रोसरी
groceryshop ग्रोसरी
shopkeeper दुकानदार
share शेयर
stock स्टक
stockmarket स्टकमार्केट
stockexchange स्टकएक्सचेन्ज
stockbroker स्टकब्रोकर
stockprice स्टकप्राइस
stockprice स्टकमुल्य
stockprice स्टकदर
debenture डिबेन्चर
bond बन्ड
phone फोन
telephone टेलिफोन
mobile मोबाइल
cellphone सेलफोन
smartphone स्मार्टफोन
android एन्ड्रोइड
ios आईओएस
iphone आईफोन
samsung सैमसंग
nokia नोकिया
huawei हुवाई
xiaomi शियोमी
oppo ओप्पो
vivo भिभो
number नम्बर
